title,company,experience,salary,description,url,role
Data Scientist 1,Paypal,3 - 9 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-1-paypal-holdings-inc-bengaluru-3-to-9-years-020625501993,data scientist
Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-020625910026,data scientist
Data Scientist,BNP Paribas,1 - 3 years,Not Disclosed,Job Insights:,https://www.naukri.com/job-listings-data-scientist-bnp-paribas-mumbai-1-to-3-years-040625014314,data scientist
Data Scientist (Gen AI),Zensar,5 - 10 years,20-30 Lacs P.A.,AI/ML & GenAI Development,https://www.naukri.com/job-listings-data-scientist-gen-ai-zensar-pune-5-to-10-years-040625028001,data scientist
Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,"In your role, you may be responsible for:",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-030625915041,data scientist
Data Scientist 3,Paypal,3 - 9 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-3-paypal-holdings-inc-bengaluru-3-to-9-years-020625501992,data scientist
Data Scientist - L3,Wipro,3 - 5 years,Not Disclosed,"Role PurposeThe purpose of the role is to define, architect and lead delivery of machine learning and AI solutions. Do1. Demand generation through support in Solution developmenta. Support Go-To-Market strategy i. Contribute to development solutions, proof of concepts aligned to key offerings to enable solution led sales b. Collaborate with different colleges and institutes for research initiatives and provide data science courses 2. Revenue generation through Building & operationalizing Machine Learning, Deep Learning solutions a. Develop Machine Learning / Deep learning models for decision augmentation or for automation solutions b. Collaborate with ML Engineers, Data engineers and IT to evaluate ML deployment options 3. Team Management a. Talent Management i. Support on boarding and training to enhance capability & effectiveness DeliverNo.Performance ParameterMeasure",https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-bengaluru-3-to-5-years-030625917599,data scientist
Data Scientist,BNP Paribas,1 - 3 years,Not Disclosed,Job Insights:,https://www.naukri.com/job-listings-data-scientist-bnp-paribas-mumbai-1-to-3-years-040625014175,data scientist
Data Scientist,Capgemini,6 - 9 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-mumbai-6-to-9-years-020625909629,data scientist
Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-040625926442,data scientist
Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-3-to-7-years-020625910027,data scientist
Data Scientist,ICICI Lombard,3 - 8 years,Not Disclosed,,https://www.naukri.com/job-listings-data-scientist-icici-lombard-mumbai-3-to-8-years-040625014378,data scientist
Data Scientist-Artificial Intelligence,IBM,5 - 7 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-020625910042,data scientist
Data Scientist-Artificial Intelligence,IBM,10 - 15 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-10-to-15-years-020625910058,data scientist
"Data Scientist II, Payment Risk Machine Learning",Amazon,1 - 9 years,Not Disclosed,read more,https://www.naukri.com/job-listings-data-scientist-ii-risk-machine-learning-amazon-development-centre-india-pvt-ltd-hyderabad-1-to-9-years-040625501400,data scientist
Data Scientist - AI,Standard Chartered,3 - 7 years,Not Disclosed,"We are looking for a Data Scientist with strong data and analytical skills,  you will be tasked with managing all aspects any new work/project assessments thoroughly from inception to delivery.  You will need to build close working relationships with COO business and CDO in order to gather specific modelling requirements and define and scope the work.  In addition,  as Data Scientist you will also work closely with internal staff,  clients and 3rd parties.",https://www.naukri.com/job-listings-data-scientist-ai-standard-chartered-life-and-careers-bengaluru-3-to-7-years-030625500283,data scientist
"Data Scientist II, Payment Risk Machine Learning",Amazon,1 - 9 years,Not Disclosed,read more,https://www.naukri.com/job-listings-data-scientist-ii-risk-machine-learning-amazon-development-centre-india-pvt-ltd-hyderabad-1-to-9-years-040625501399,data scientist
Lead Machine Learning Engineer / Lead Data Scientist,Vakilsearch,7 - 10 years,Not Disclosed,,https://www.naukri.com/job-listings-lead-machine-learning-engineer-lead-data-scientist-vakilsearch-bengaluru-7-to-10-years-030625029080,data scientist
Data Scientist,Cognizant,5 - 10 years,Not Disclosed,Job Role: Data Scientist,https://www.naukri.com/job-listings-data-scientist-cognizant-bengaluru-5-to-10-years-040625032288,data scientist
Data Scientist 1,Xoom,1 - 3 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-1-xoom-inc-bengaluru-1-to-3-years-020625500548,data scientist
Data Scientist cum Machine Learning Engineer,Tranzita Systems,1 - 3 years,3.5-6 Lacs P.A.,"We are seeking a highly capable Data Scientist cum Machine Learning Engineer to support the design, development, and deployment of advanced AI-driven solutions for real-time defect prediction and closed-loop control in a manufacturing environment. The role involves building robust data pipelines, developing high-accuracy ML models, and integrating those models into real-time control systems for automated corrective actions.",https://www.naukri.com/job-listings-data-scientist-machine-learning-engineer-tranzita-systems-hyderabad-lucknow-1-to-3-years-020625007172,data scientist
Data Analysis and Simulation Professional / Data Scientist,Siemens,2 - 5 years,Not Disclosed,read more,https://www.naukri.com/job-listings-data-analysis-and-simulation-professional-data-scientist-siemens-limited-bengaluru-2-to-5-years-220525915318,data scientist
