id,title,company,experience,salary,location,description,url,role,skills,min_salary,max_salary,avg_salary,years_exp,clean_location,clean_skills
23,Data Analyst,BAJAJ FINSERVE,2 - 5 years,8-11 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Delhi / NCR",,https://www.naukri.com/job-listings-data-analyst-bajaj-finserve-delhi-ncr-2-to-5-years-060625016648,Data Analyst,,8.0,11.0,9.0,3.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
24,Data Analyst,Talkdesk,1 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-talkdesk-bengaluru-1-to-3-years-040625500643,Data Analyst,"Computer science, Data analysis, Data migration, Data management, Data modeling, Analytical, Data quality, Data analytics, data visualization, SQL",,,,2.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Data Analysis, Data Migration, Data Management, Data Modeling, Analytical, Data Quality, Data Analytics, Data Visualization, Sql"
25,Data Analyst,DXC Technology,1 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",Job Description:,https://www.naukri.com/job-listings-data-analyst-dxc-technology-bengaluru-1-to-5-years-060625500898,Data Analyst,"Data analysis, Automation, Data management, Database management, Social media, Data collection, Data processing, data integrity, Business strategy, SQL",,,,3.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Data Analysis, Automation, Data Management, Database Management, Social Media, Data Collection, Data Processing, Data Integrity, Business Strategy, Sql"
26,Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",Role Purpose,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-bengaluru-5-to-8-years-030625913805,Data Analyst,,,,,6.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
27,Data Analyst,ANZ,2 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-anz-banking-group-bengaluru-2-to-7-years-060625502365,Data Analyst,"Data analysis, Automation, Data management, Data collection, Agile, Workflow, Data structures, Data quality, Customer service, Financial services",,,,4.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Data Analysis, Automation, Data Management, Data Collection, Agile, Workflow, Data Structures, Data Quality, Customer Service, Financial Services"
28,"Data Analyst-Mapping, Modelling",Capco,1 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-mapping-modelling-capco-technologies-pvt-ltd-bengaluru-1-to-6-years-300525930610,Data Analyst,,,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
29,Direct Walkin/Data Analyst@ Bangalore,MKS Vision,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad, Coimbatore",MKS Vision Pvt Ltd  About us:MKS Vision is a full spectrum of Information Technology and engineering service provider. We exist to provide increased efficiencies and flexibility that accelerate business performance by adapting the latest cutting-edge technologies for our customers. Our services bring tangible benefits to our customers. MKS Vision will assist you in adopting global services.Website: https://www.mksvision.com/Job Location: CoimbatoreBelow are the roles and associated skills we are looking for:Risk Data Analyst,https://www.naukri.com/job-listings-direct-walkin-data-analyst-bangalore-mks-vision-hyderabad-coimbatore-5-to-10-years-060625021775,Data Analyst,,,,,7.5,"Chennai, Coimbatore, Delhi, Hyderabad, Mumbai, Pune",
30,Data Analyst,Grid Dynamics,2 - 4 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-grid-dynamics-bengaluru-2-to-4-years-060625503849,Data Analyst,"Analytical, Agile, Data structures, splunk, Data quality, data integrity, Data Analyst, Medical insurance, SQL, Python",,,,3.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Analytical, Agile, Data Structures, Splunk, Data Quality, Data Integrity, Data Analyst, Medical Insurance, Sql, Python"
31,Data Analyst,Sodexo Food Solutions India Pvt. Ltd.ces,4 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Ahmedabad",read more,https://www.naukri.com/job-listings-data-analyst-sodexo-food-solutions-india-pvt-ltd-ces-ahmedabad-4-to-5-years-290525500412,Data Analyst,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity, dashboards, cleansing, sql, data cleansing, excel, tableau, quality assurance, advanced excel, data visualization, reporting",,,,4.5,"Ahmedabad, Chennai, Delhi, Hyderabad, Mumbai, Pune","Master Data, Metadata, Python, Data Analysis, Data Management, Data Analytics, Data Validation, Configuration, Data Mining, Data Integrity, Dashboards, Cleansing, Sql, Data Cleansing, Excel, Tableau, Quality Assurance, Advanced Excel, Data Visualization, Reporting"
32,Data Analyst - Gurugram,Infosys,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai, Bengaluru, PAN INDIA",Responsibilities:,https://www.naukri.com/job-listings-data-analyst-gurugram-infosys-chennai-bengaluru-pan-india-5-to-10-years-210525015253,Data Analyst,,,,,7.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
